paperid,studyid,reportid,title,keywords,number_of_total_participants,number_of_total_male,number_of_total_female,from_age,to_age,mean_age,sd_age,type_of_visual_display,type_of_audio,type_of_applications,specific_terms,ipq_in_language,is_ipq_used_right,paper_note,total_duration,number_of_user_studies,study_name,duration_of_stay,number_of_study_participants,number_of_study_male,number_of_study_female,from_age_study,to_age_study,mean_age_study,sd_age_study,experiment_design,how_score_is_reported,report_style,report_form,when_the_questionnaire_is_filled,is_score_reported_for_each_time,analysis_techniques,posthoc_tests,finding,number_of_conditions,score_scale,condition_name,element_name,is_interaction,participant_per_element,totalSP,totalINV,totalREAL,totalGP,totalTOTAL,meanSP,meanINV,meanREAL,meanGP,meanTOTAL,sdSP,sdINV,sdREAL,sdGP,sdTOTAL,otherSP,otherINV,otherREAL,otherGP,otherTOTAL,cites,authors,year,source,publisher,articleURL,citesURL,gsRank,queryDate,type,doi,issn,citationURL,volume,issue,startPage,endPage,ecc,citesPerYear,citesPerAuthor,authorCount,age,isIPQUsed,topic,note,standard_total,standard_total_each_item,is_subscale_fully_reported,standard_sp,standard_inv,standard_real,standard_gp,standard_sp_each_item,standard_inv_each_item,standard_real_each_item,standard_gp_each_item,visual_display,likert_scale,rating_scale,file,standard_total_17
106,111,111,Social influence in a virtual tunnel fire - influence of conflicting information on evacuation behavior,Tunnel evacuation; Social influence; Virtual reality,40,,,,,21.13,2.38,Projection Display,Unknown,Education and training;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,40,,,,,,,within-subject,whole questionnaire,/Mean/SD/,Other,After,No,,,,2,-33,Whole Experiment,Whole Study,No,40,,,,,3.37,,,,,,,,,,11.84,,,,,,49,M Kinateder; M Müller; M Jost; A Mühlberger; P Pauli,2014,Applied ergonomics,Elsevier,https://www.sciencedirect.com/science/article/pii/S000368701400101X,https://scholar.google.com/scholar?cites=4824995960462565443&as_sdt=2005&sciodt=0;5&hl=en,148,43676,,,,,,,,,49,9.8,10,5,,YES,Social Influence,Unknown Scale,3.3699996,0.24071428,FALSE,911,911,911,911,911,911,911,911,Projection Display,7-point,Fair,Each Study,59.3699996
107,112,112,Evacuation travel paths in virtual reality experiments for tunnel safety analysis,Fire evacuation; Travel paths; Tunnel safety; Virtual reality; Functional analysis,15,,9,,,23.33,3.06,Projection Display,Surround sound,Education and training;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,15,,,,,,,within-subject,whole questionnaire,/Mean/SD/,Other,After,No,,,,2,-33,Whole Experiment,Whole Study,No,15,,,,,8.4,,,,,,,,,,9.1,,,,,,26,E Ronchi; M Kinateder; M Müller; M Jost; M Nehfischer…,2015,Fire Safety Journal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0379711214001568,https://scholar.google.com/scholar?cites=9754546538588738690&as_sdt=2005&sciodt=0;5&hl=en,350,43676,,,,,,,,,26,6.5,4,6,,YES,Evacuation,Unknown Scale,8.4,0.6,FALSE,911,911,911,911,911,911,911,911,Projection Display,7-point,Good,Each Study,64.4
108,113,113,The effects of mediation in a storytelling virtual environment,,77,,,,,,,3D Graphics - Monoscopic,Stereo sound,Design and visualization;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,77,,,,,,,between-subject,whole questionnaire,/Mean/SD/,Other,After,No,ANOVA,,,4,17,Whole Experiment,Whole Study,No,77,,,,,56.69,,,,,,,,,,,,,,,,25,S Brown; I Ladeira; C Winterbottom; E Blake,2003,International Conference on …,Springer,https://link.springer.com/chapter/10.1007/978-3-540-40014-1_13,https://scholar.google.com/scholar?cites=7883283470905427188&as_sdt=2005&sciodt=0;5&hl=en,80,43676,,,,,,,,,25,1.56,6,4,,YES,Storytelling,,0.69,0.049285714,FALSE,911,911,911,911,911,911,911,911,3D Graphics - Monoscopic,7-point,Fair,Each Study,56.69
109,114,114,Social influence on evacuation behavior in real and virtual environments,virtual reality; fire evacuation; social influence; bystander effect; virtual humans; Virtual agents,75/75,35/41,40/34,,,21.45`4.3,,3D Graphics - HMD VR,Stereo sound,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,75,15/14/12,10/11/2013,,,21.80/21.76/20.80,4.73/3.69/2.55,between-subject,each component,/Mean/SD/,Other,After,No,,,,2,6,Whole Experiment,Whole Study,No,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,M Kinateder; WH Warren,2016,Frontiers in Robotics and AI,frontiersin.org,https://www.frontiersin.org/articles/10.3389/frobt.2016.00043,https://scholar.google.com/scholar?cites=12932043803460859494&as_sdt=2005&sciodt=0;5&hl=en,128,43676,HTML,,,,,,,,15,5,8,2,,YES,Social Influence,,5.6833334,0.4059524,TRUE,5.95,1.1333333,-1.4,1.28,1.19,0.28333333,-0.35,1.28,3D Graphics - HMD VR,7-point,Fair,Each Study,61.6833334
110,115,115,Social influence in emergency situations - studies in virtual reality,,156,,,,,,,3D Graphics - HMD VR,Unknown,Education and training;Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,5 study: - Study 5 reported in a paper (using projection),,4,Study 1,,30,,15,,,24.2,3.37,between-subject,whole questionnaire,TotalScore//SD/,Other,After,No,TTest,,,2,17,Whole Experiment,Whole Study,No,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,M Kinateder,2013,,opus.bibliothek.uni-wuerzburg.de,https://opus.bibliothek.uni-wuerzburg.de/frontdoor/index/index/docId/6470,https://scholar.google.com/scholar?cites=7017840509121220811&as_sdt=2005&sciodt=0;5&hl=en,526,43676,,,,,,,,,17,2.83,17,1,,YES,Social Influence,Unknown Scale,26.365,1.8832142,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Excellent,Each Study,82.365
110,116,116,Social influence in emergency situations - studies in virtual reality,,156,,,,,,,3D Graphics - HMD VR,Unknown,Education and training;Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,5 study: - Study 5 reported in a paper (using projection),,4,Study 2,,60,,30,,,24.58,5.08,between-subject,whole questionnaire,/Mean/SD/,Other,After;Unknown,No,TTest,,,4,-33,Whole Experiment,Whole Study,No,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,M Kinateder,2013,,opus.bibliothek.uni-wuerzburg.de,https://opus.bibliothek.uni-wuerzburg.de/frontdoor/index/index/docId/6470,https://scholar.google.com/scholar?cites=7017840509121220811&as_sdt=2005&sciodt=0;5&hl=en,526,43676,,,,,,,,,17,2.83,17,1,,YES,Social Influence,Unknown Scale,2.575,0.18392856,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Fair,Each Study,58.575
110,117,117,Social influence in emergency situations - studies in virtual reality,,156,,,,,,,3D Graphics - HMD VR,Unknown,Education and training;Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,5 study: - Study 5 reported in a paper (using projection),,4,Study 3,,32,,16,,,21.56,3.78,between-subject,whole questionnaire,/Mean/SD/,Other,Unknown,No,TTest,,,2,-33,Whole Experiment,Whole Study,No,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,M Kinateder,2013,,opus.bibliothek.uni-wuerzburg.de,https://opus.bibliothek.uni-wuerzburg.de/frontdoor/index/index/docId/6470,https://scholar.google.com/scholar?cites=7017840509121220811&as_sdt=2005&sciodt=0;5&hl=en,526,43676,,,,,,,,,17,2.83,17,1,,YES,Social Influence,Unknown Scale,2.595,0.18535714,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Fair,Each Study,58.595
110,118,118,Social influence in emergency situations - studies in virtual reality,,156,,,,,,,3D Graphics - HMD VR,Unknown,Education and training;Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,5 study: - Study 5 reported in a paper (using projection),,4,Study 4,,34,,17,,,23.41,3.09,between-subject,whole questionnaire,/Mean/SD/,Other,Unknown,No,TTest,,,2,-33,Whole Experiment,Whole Study,No,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,M Kinateder,2013,,opus.bibliothek.uni-wuerzburg.de,https://opus.bibliothek.uni-wuerzburg.de/frontdoor/index/index/docId/6470,https://scholar.google.com/scholar?cites=7017840509121220811&as_sdt=2005&sciodt=0;5&hl=en,526,43676,,,,,,,,,17,2.83,17,1,,YES,Social Influence,Unknown Scale,-0.235,-0.016785715,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Fair,Each Study,55.765
111,119,119,Service-field simulator using MR techniques: Behavior comparison in real and virtual environments,Service­field  simulator;  behavior  comparison; augmented virtuality; omni­directional display; hands­free; avatar,5,2,3,,,,,Projection Display,Unknown,Social Science and psychology;Other,Simulator,Not Mentioned,Not Sure,,,1,Study 1,,5,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,,,,2,6,Whole Experiment,Whole Study,No,5,,,,,,3.48,3.85,2,4.8,,1.29,0.76,0.35,0.8,,,,,,,10,J Hyun; Y Habuchi; A Park…,2010,Proceedings on …,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/9b35/26c5a1f8c2851ebe503ffb90d808bc4b7f46.pdf,https://scholar.google.com/scholar?cites=9940898064075571261&as_sdt=2005&sciodt=0;5&hl=en,111,43676,PDF,,,,,,,,10,1.11,3,4,,YES,Simulator,,1.8,0.12857144,TRUE,2.4,3.4,-4,1.8,0.47999996,0.85,-1,1.8,Projection Display,7-point,Fair,Each Study,57.8
112,120,120,Development and evaluation of a virtual reality-system with integrated tracking of extremities under the aspect of Acrophobia,Virtual Reality; Oculus Rift; Microsoft Kinect; Avatar; Anxiety Disorder; Head Mounted Display; Virtual Reality Exposure Therapy; Motion Tracking; VRET; HMD; VR,42,,,,,,,3D Graphics - HMD VR,No sound,Healthcare and clinical therapies;Social Science and psychology,System,Not Mentioned,Not Sure,,,1,Study 1,,42,13/14,7-Jun,,,,,within-subject,each component,/Mean/SD/,Other,After,No,TTest,,,2,6,Whole Experiment,Whole Study,No,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P Schäfer; M Koller; J Diemer…,2015,2015 SAI Intelligent …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7361173/,https://scholar.google.com/scholar?cites=14402482774299237483&as_sdt=2005&sciodt=0;5&hl=en,130,43676,,,,,,,,,9,2.25,2,4,,YES,Acrophobia,Unknown Scale,22.54,1.61,TRUE,9,7.24,3.7999997,2.5,1.8,1.81,0.9499999,2.5,3D Graphics - HMD VR,7-point,Excellent,Each Study,78.54
113,121,121,Experimental variation of social stress in virtual reality - Feasibility and first results in patients with psychotic disorders,Immersive virtual environment; VR; Schizophrenia; Paranoian-back; Presence,41,,,18,65,,,3D Graphics - HMD VR,Stereo sound,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,20-25,41,,,,,,,between-subject,whole questionnaire,TotalScore///Other,Other,After,No,TTest;Good reliability,,,2,6,Whole Experiment,Whole Study,No,41,,,,,40,,,,,,,,,,,,,,,2.1,7,K Hesse; PA Schroeder; J Scheeff; S Klingberg…,2017,Journal of behavior …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0005791616301239,https://scholar.google.com/scholar?cites=2769102969623394812&as_sdt=2005&sciodt=0;5&hl=en,454,43676,,,,,,,,,7,3.5,1,5,,YES,Stress,,-2,-0.14285715,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Fair,Each Study,54
114,122,122,Perceptual calibration in virtual reality applications,,19,,,,,,,3D Graphics - Monoscopic;Projection Display,Unknown,Design and visualization;Social Science and psychology,,Not Mentioned,Not Sure,,60,1,Study 1,,19,,,,,25/25,2-Jun,between-subject,each component,/Mean/SD/,Chart,After,No,ANOVA,,,2,-33,Whole Experiment,Whole Study,No,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,DR Mestre,2016,Electronic Imaging,ingentaconnect.com,https://www.ingentaconnect.com/contentone/ist/ei/2016/00002016/00000004/art00003,https://scholar.google.com/scholar?cites=16689666532010075657&as_sdt=2005&sciodt=0;5&hl=en,147,43676,,,,,,,,,4,1.33,4,1,,YES,Perceptual Calibration,,0.1552,0.011085714,TRUE,2.592,-0.85279995,-1.584,0.3528,0.5184,-0.21319999,-0.396,0.3528,Projection Display,7-point,Fair,Each Study,56.1552
115,123,123,Assessing User Experience in Virtual Reality - A Comparison of Different Measurements,User experience; Virtual reality; Evaluation framework,72,,12,,,32.11,8.68,3D Graphics - HMD VR,Stereo sound,Design and visualization;Social Science and psychology,,German,Not Sure,,,1,Study 1,,72,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Correlation test,,,2,17,Whole Experiment,Whole Study,No,72,,,,,,5.44,4.6,3.16,5.97,,0.86,1.28,1.27,0.66,,,,,,,4,C Wienrich; N Döllinger; S Kock; K Schindler…,2018,… Conference of Design …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-91797-9_41,https://scholar.google.com/scholar?cites=7732979368725305344&as_sdt=2005&sciodt=0;5&hl=en,342,43676,,,,,,,,,4,4,1,5,,YES,Experience,Unknown Scale,6.24,0.44571432,TRUE,7.1999993,2.4,-3.36,1.9699999,1.44,0.6,-0.84,1.9699999,3D Graphics - HMD VR,7-point,Fair,Each Study,62.24
116,124,124,Distraction of attention with the use of virtual reality. Influence of the level of game complexity on the level of experienced pain,Virtual Reality; Pain; Attention distraction; Cold Pressor Test; Video games,31,12,19,20/19,24/30,22.42/21.37,1.51/2.34,3D Graphics - HMD VR,Stereo sound,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,4,31,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Parametric statistics,,,4,-33,Whole Experiment,Whole Study,No,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,J Piskorz; M Czub,2014,Polish Psychological Bulletin,degruyter.com,https://www.degruyter.com/downloadpdf/j/ppb.2014.45.issue-4/ppb-2014-0058/ppb-2014-0058.xml,https://scholar.google.com/scholar?cites=8909671389347806897&as_sdt=2005&sciodt=0;5&hl=en,175,43676,PDF,,,,,,,,3,0.6,2,2,,YES,Pain,,-6.255,-0.44678572,TRUE,0.55833334,-0.56,-6.2533336,0.935,0.111666664,-0.14,-1.5633334,0.935,3D Graphics - HMD VR,7-point,Fair,Each Study,49.745
117,125,125,Here's LoFairing At You Anyway!: How Important is Realistic Gaze Behavior in Co-located Social Virtual Reality Games?,Gaze Behavior; Social Virtual Reality; Eye Tracking; Head-mounted Display,42,24,17,18,53,27.5,,3D Graphics - HMD VR,Unknown,Entertainment and game;Social Science and psychology,,,Not Sure,,45,1,Study 1,16,42,8/08/2008,6/06/2005,,,,,between-subject,each component,/Mean/SD/,Chart,After,No,Spearman’s correlation test,,,2,17,Whole Experiment,Whole Study,No,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,S Seele; S Misztal; H Buhler; R Herpers…,2017,Proceedings of the …,dl.acm.org,https://dl.acm.org/citation.cfm?id=3116619,https://scholar.google.com/scholar?cites=7497006300627109154&as_sdt=2005&sciodt=0;5&hl=en,316,43676,,,,,,,,,3,1.5,1,5,,YES,Gaze Behavior,Unknown Scale,-0.7966666,-0.056904763,TRUE,0.48333332,-2.0133333,0.73333335,1.38,0.096666664,-0.50333333,0.18333334,1.38,3D Graphics - HMD VR,7-point,Fair,Each Study,55.2033334
118,126,126,How does interface influence the level of analgesia when Virtual Reality distraction is used?,virtual reality; pain tolerance; analgesia; virtual environment; thermal stimulation,66,,,,,,,3D Graphics - HMD VR,Stereo sound,Design and visualization;Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,4,66,Dec-16,19/19,19/19,30/33,21.77/22.37,,between-subject,each component,/Mean/SD/,Other,After,No,U-Mann Whitney test,,,2,17,Whole Experiment,Whole Study,No,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,J Piskorz; M Czub; K Urbańska; M Mrula…,2014,Polish Journal of …,degruyter.com,https://www.degruyter.com/downloadpdf/j/pjap.2014.12.issue-1/pjap-2015-0003/pjap-2015-0003.xml,https://scholar.google.com/scholar?cites=4707122335806932803&as_sdt=2005&sciodt=0;5&hl=en,343,43676,PDF,,,,,,,,3,0.6,1,5,,YES,Analgesia,Unknown Scale,-16.31,-1.165,TRUE,-4.45,-3.78,-8.08,-0.09,-0.89,-0.945,-2.02,-0.09,3D Graphics - HMD VR,7-point,Poor,Each Study,39.69
119,127,127,Reaching a higher sense of presence in VR through 3D architectural visualization,Virtual reality; phobia treatment; presence; 3D visualization,20,,,19,34,,,3D Graphics - HMD VR,Unknown,Design and visualization;Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,8.5,20,,,,,23.4/24.1,,between-subject,each component,/Mean//,Chart,After,No,Mann-Whitney U Test,,,2,-33,Whole Experiment,Whole Study,No,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,E Sabadi,2008,Delft University of Technology; Media and Knowledge …,mmi.tudelft.nl,http://www.mmi.tudelft.nl/~vrphobia/THESIS_ErvinSabadi.pdf,https://scholar.google.com/scholar?cites=1101007825968562232&as_sdt=2005&sciodt=0;5&hl=en,178,43676,PDF,,,,,,,,1,0.09,1,1,,YES,Visualization,,1.43,0.102142856,TRUE,3.05,0.16,-1.78,0.5,0.61,0.04,-0.445,0.5,3D Graphics - HMD VR,7-point,Fair,Each Study,57.43
120,128,128,Keep Your Eyes on the Road; Kid!': Exploring the Potential of Virtual Reality Environments to Teach Children to Keep Their Attention While Biking,,11,6,5,22,27,23.8,,3D Graphics - HMD VR,Unknown,Education and training;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,11,,,,,,,within-subject,each component,/Mean//,Other,After,No,,,,2,6,Whole Experiment,Whole Study,No,11,,,,,,4.32,4.69,2.93,4.82,,,,,,,,,,,,1,P Gagelas,2018,,essay.utwente.nl,https://essay.utwente.nl/75561/,https://scholar.google.com/scholar?cites=18428299114876641027&as_sdt=2005&sciodt=0;5&hl=en,420,43676,,,,,,,,,1,1,1,1,,YES,Attention,,13.080001,0.9342857,TRUE,6.6,6.76,-0.28,1.82,1.32,1.69,-0.07,1.82,3D Graphics - HMD VR,7-point,Good,Each Study,69.080001
121,129,129,Influence of Network Delay in Virtual Reality Multiplayer Exergames: Who is actually delayed?,Virtual Reality; Multiplayer Exergames; QoE; Network Delay,23,17,6,,,25.57,3.41,3D Graphics - HMD VR,Unknown,Design and visualization;Entertainment and game;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,23,,,,,,,within-subject,each component,/Mean//Other,Other,After,No,ANOVA,,,2,17,Whole Experiment,Whole Study,No,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T Kojic; S Schmidt; S Möller…,2019,… Conference on Quality …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8743342/,,260,43676,,,,,,,,,0,0,0,4,,YES,Exergame,Lack report for some condition,-0.9665,-0.06903572,TRUE,2.1575,-0.53,-2.594,0.6015,0.4315,-0.1325,-0.6485,0.6015,3D Graphics - HMD VR,7-point,Fair,Each Study,55.0335
122,130,130,Effects of simulated darkness on the affective appraisal of a virtual environment,,72,,,17,32,22.2,2.9,3D Graphics - Monoscopic,Stereo sound,Design and visualization;Social Science and psychology,1,Not Mentioned,Not Sure,,,1,Study 1,10,72,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,MANOVA,,,2,6,Whole Experiment,Whole Study,No,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A Toet; JM Houtkamp; PE Vreugdenhil,2015,PeerJ PrePrints,peerj.com,https://peerj.com/preprints/1456,,336,43676,,,,,,,,,0,0,0,3,,YES,Simulated darkness,Unknown Scale,4.225,0.3017857,TRUE,3.1916666,1.9333333,-0.8999999,0.90333337,0.6383333,0.48333332,-0.22499998,0.90333337,3D Graphics - Monoscopic,7-point,Fair,Each Study,60.225
123,131,131,Warning messages to modify safety behavior during crisis situations: A virtual reality study,Safety behaviour; Warning messages; Virtual reality; Thunderstorm,34,,,,,26.61,9.39,3D Graphics - HMD VR,Unknown,Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,around 10,34,,9-Oct,,,29.86/23.94,12.31/5.04,between-subject,each component,/Mean/SD/,Other,After,No,TTest,,,2,6,Whole Experiment,Whole Study,No,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H Markwart; J Vitera; S Lemanski; D Kietzmann…,2019,International Journal of …,Elsevier,https://www.sciencedirect.com/science/article/pii/S2212420919302432,,288,43676,,,,,,,,,0,0,0,5,,YES,Behavior,,2.41,0.17214286,TRUE,4.45,0.52,-2.56,0.96999997,0.89,0.13,-0.64,0.96999997,3D Graphics - HMD VR,7-point,Fair,Each Study,58.41
124,132,132,User virtual costume visualisation in an augmented virtuality immersive cinematic environment,Augmented Virtuality; 360 movie; virtual costume,24,,12,133,52,32.4,8.6,3D Graphics - HMD VR,Unknown,Design and visualization;Entertainment and game;Social Science and psychology,,Not Mentioned,Not Sure,,40,1,Study 1,,24,,,,,,,within-subject,each component,/Mean//,Other,After,No,Friedman tests,Wilcoxon Signed Rank tests with a Bonferroni correction,,2,6,Whole Experiment,Whole Study,No,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W Tang; GA Lee; M Billinghurst…,2018,Proceedings of the 30th …,dl.acm.org,https://dl.acm.org/citation.cfm?id=3292188,,294,43676,,,,,,,,,0,0,0,4,,YES,Augmented Virtuality,,2.3113334,0.16509524,TRUE,2.5233333,0.808,-1.02,0.41333333,0.5046667,0.202,-0.255,0.41333333,3D Graphics - HMD VR,7-point,Fair,Each Study,58.3113334
125,133,133,A Metro World Prototype for Virtual Reality Exposure Therapy of Agoraphobia,,20,,,,,,,3D Graphics - HMD VR,Stereo sound,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,7,20,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Reliability analysis,,,2,6,Whole Experiment,Whole Study,No,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FN Rahayu; MA Neerincx; C van der Mast…,2003,Delft University of …,mmi.tudelft.nl,http://mmi.tudelft.nl/vret/images/0/07/A_Metro_World_Prototype_for_Virtual_Reality_Exposure_Therapy_of_Agoraphobia.pdf,,330,43676,PDF,,,,,,,,0,0,0,4,,YES,Agoraphobia,,1.05,0.075,TRUE,3.275,-1.05,-1.175,0.825,0.655,-0.2625,-0.29375,0.825,3D Graphics - HMD VR,7-point,Fair,Each Study,57.05
126,134,134,Virtual Reality Based Simulation Testbed for Evaluation of Autonomous Vehicle Behavior Algorithms,,10,7,3,18,25,,,3D Graphics - HMD VR,Unknown,Design and visualization;Interaction techniques;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,10,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,,,,2,6,Whole Experiment,Whole Study,No,10,,,,,,5.18,4.28,4.23,5.28,,0.61,0.5,0.44,0.66,,,,,,,0,V Rastogi,2017,,tigerprints.clemson.edu,https://tigerprints.clemson.edu/all_theses/2773/,,358,43676,,,,,,,,,0,0,0,1,,YES,Simulation,,20.94,1.4957143,TRUE,10.9,5.12,4.92,2.28,2.18,1.28,1.23,2.28,3D Graphics - HMD VR,7-point,Good,Each Study,76.94
127,135,135,Body Movement Reduces Pain Intensity in Virtual Reality - Based Analgesia,,46,15,31,18,31,21.1/20.7,3.41/1.74,3D Graphics - HMD VR,Stereo sound,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,4,46,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,TTest,,,2,-33,Whole Experiment,Whole Study,No,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M Czub; J Piskorz,2018,International Journal of Human–Computer …,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/10447318.2017.1412144,,375,43676,,,,,,,,,0,0,0,2,,YES,Pain,Unknown Scale,-3.7,-0.2642857,TRUE,1.5,-1.9400002,-3.2600002,0.87,0.3,-0.48500004,-0.81500006,0.87,3D Graphics - HMD VR,7-point,Fair,Each Study,52.3
128,136,136,The Influence of Autonomous Movement on Adverse Events in Relaxing Virtual Environments Using a Head-Mounted Display: An Exploratory Study,Virtual Reality; adverse events; Cybersickness; Head-Mounted Display; HMD,30,,,18,63,39.5,11.7,3D Graphics - HMD VR,Unknown,Design and visualization;Interaction techniques;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,30,,,,,,,within-subject,each component,/Mean/SD/,Other,Unknown,No,TTest,,,2,17,Whole Experiment,Whole Study,No,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D Riedl; FL Loth; S Eppler; B Holzner…,2019,Journal of Virtual Reality …,jvrb.org,https://www.jvrb.org/past-issues/15.2018/4819,,395,43676,,,,,,,,,0,0,0,5,,YES,Autonomous movement,Unknown Scale,-6.7,-0.47857141,TRUE,0.5,-2.4,-4.8,0.1,0.1,-0.6,-1.2,0.1,3D Graphics - HMD VR,7-point,Fair,Each Study,49.3
129,137,137,How to Observe Users' Movements in Virtual Environments: Viewpoint Control in a Power Wheelchair Simulator,user observation; virtual reality; interaction techniques; immersion; driving simulator,15,4,11,23,55,34.9,9.4,3D Graphics - HMD VR,Unknown,Education and training;Interaction techniques;Social Science and psychology,,Not Mentioned,Not Sure,,40,1,Study 1,,15,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,ANOVA;Tukey’s,,,2,-33,Whole Experiment,Whole Study,No,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A Alshaer; D O'Hare; P Archambault…,2019,Human …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0018720819853682,,409,43676,,,,,,,,,0,0,0,4,,YES,Simulator,Said 13 items but report 4 subscales,-0.7433333,-0.053095236,TRUE,-0.28666666,0.16666667,-0.7566667,0.13333334,-0.05733333,0.041666668,-0.18916668,0.13333334,3D Graphics - HMD VR,7-point,Fair,Each Study,55.2566667
130,138,138,Public speaking anxiety decreases within repeated virtual reality training sessions,,19,10,9,18,76,35.47,15.46,3D Graphics - HMD VR,Unknown,Education and training;Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,60,1,Study 1,,19,,,,,,,within-subject,each component,TotalScore//SD/,Other,After,No,Skew Kurtosis Analysis,,,2,6,Whole Experiment,Whole Study,No,19,20.26,16.63,10,4.68,46.89,,,,,,6.17,5.15,3.01,1.46,11.38,,,,,,0,M Takac; J Collett; KJ Blom; R Conduit; I Rehm…,2019,PloS one,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0216288,,445,43676,HTML,,,,,,,,0,0,0,6,,YES,Anxiety,,4.89,0.34928572,TRUE,5.26,4.63,-2,1.68,1.052,1.1575,-0.5,1.68,3D Graphics - HMD VR,7-point,Fair,Each Study,60.89
