paperid,studyid,reportid,title,keywords,number_of_total_participants,number_of_total_male,number_of_total_female,from_age,to_age,mean_age,sd_age,type_of_visual_display,type_of_audio,type_of_applications,specific_terms,ipq_in_language,is_ipq_used_right,paper_note,total_duration,number_of_user_studies,study_name,duration_of_stay,number_of_study_participants,number_of_study_male,number_of_study_female,from_age_study,to_age_study,mean_age_study,sd_age_study,experiment_design,how_score_is_reported,report_style,report_form,when_the_questionnaire_is_filled,is_score_reported_for_each_time,analysis_techniques,posthoc_tests,finding,number_of_conditions,score_scale,condition_name,element_name,is_interaction,participant_per_element,totalSP,totalINV,totalREAL,totalGP,totalTOTAL,meanSP,meanINV,meanREAL,meanGP,meanTOTAL,sdSP,sdINV,sdREAL,sdGP,sdTOTAL,otherSP,otherINV,otherREAL,otherGP,otherTOTAL,cites,authors,year,source,publisher,articleURL,citesURL,gsRank,queryDate,type,doi,issn,citationURL,volume,issue,startPage,endPage,ecc,citesPerYear,citesPerAuthor,authorCount,age,isIPQUsed,topic,note,standard_total,standard_total_each_item,is_subscale_fully_reported,standard_sp,standard_inv,standard_real,standard_gp,standard_sp_each_item,standard_inv_each_item,standard_real_each_item,standard_gp_each_item,visual_display
59,60,152,Evaluating the Effects of Hand-gesture-based Interaction with Virtual Content in a 360 Movie,,32,,16,19,42,26.97,6.32,3D Graphics - HMD VR,Unknown,"Design and visualization,Interaction techniques,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,32,,,,,,,within-subject,each component,/Mean//,Other,After,No,ANOVA,,,4,17,Hand appearance,Real,No,32,,,,,,3.71,4.44,3.56,4.63,3.82,,,,,,,,,,,1,H Khan; G Lee; S Hoermann; R Clifford; M Billinghurst�,2017,,ir.canterbury.ac.nz,https://ir.canterbury.ac.nz/handle/10092/15215,https://scholar.google.com/scholar?cites=12814848117432532594&as_sdt=2005&sciodt=0;5&hl=en,229,43628,,,,,,,,,1,0.5,0,6,2,YES,Interaction,Unknown Scale,-2.52,-0.18,TRUE,-1.45,1.76,-1.76,0.63,-0.29,0.44,-0.44,0.63,3D Graphics - HMD VR
10,11,28,Effects of different types of virtual reality display on presence and learning in a safety training scenario,"Virtual reality, displays, fidelity, training, user study, aviation, safety",96,55,41,18,36,23.81,3.58,"3D Graphics - Monoscopic,3D Graphics - HMD VR",Stereo sound,Education and training,Training,Not Mentioned,Not Sure,,,1,Study 1,,96,18/19/18,14/13/14,,,24.53/23.84/23.06,3.82/4.07/2.65,between-subject,each component,/Mean/SD/,Other,After,No,ANCOVA,Bonferroni test,,1,6,Group,LF,No,32,,,,,,2.74,3.47,2.46,2.63,2.86,,,,,,0.18,0.22,0.13,0.26,0.13,43,F Buttussi; L Chittaro,2017,IEEE transactions on visualization and��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7817889/,https://scholar.google.com/scholar?cites=1482394720363540760&as_sdt=2005&sciodt=0;5&hl=en,244,43628,,,,,,,,,43,21.5,22,2,2,YES,Training,Report SE,-1.96,-0.14,TRUE,-1.3,1.88,-2.16,-0.37,-0.26,0.47,-0.54,-0.37,3D Graphics - Monoscopic
59,60,150,Evaluating the Effects of Hand-gesture-based Interaction with Virtual Content in a 360 Movie,,32,,16,19,42,26.97,6.32,3D Graphics - HMD VR,Unknown,"Design and visualization,Interaction techniques,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,32,,,,,,,within-subject,each component,/Mean//,Other,After,No,ANOVA,,,4,17,Interaction,With,No,32,,,,,,3.75,4.51,3.55,4.87,3.87,,,,,,,,,,,1,H Khan; G Lee; S Hoermann; R Clifford; M Billinghurst�,2017,,ir.canterbury.ac.nz,https://ir.canterbury.ac.nz/handle/10092/15215,https://scholar.google.com/scholar?cites=12814848117432532594&as_sdt=2005&sciodt=0;5&hl=en,229,43628,,,,,,,,,1,0.5,0,6,2,YES,Interaction,Unknown Scale,-1.82,-0.13,TRUE,-1.25,2.04,-1.8,0.87,-0.25,0.51,-0.45,0.87,3D Graphics - HMD VR
3,3,10,Influence of personality and individual abilities on the sense of presence experienced in anxiety triggering virtual environments,"Individual differences, Anxiety, Personality, Intelligence, Sense of presence, Virtual reality",210,37,173,18,45,23.19,3.76,3D Graphics - HMD VR,Stereo sound,Social Science and psychology,Individual differences,Not Mentioned,Not Sure,,120,1,Study 1,58,210,Aug-29,60/113,19/18,34/45,22.35/23.58,2.67/4.12,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,3,17,GroupxEmotional,Low test anxietyxEmotional,Yes,142,,,,,,3.8,3.38,3.31,4.12,3.56,0.89,1.2,0.89,1.16,0.9,,,,,,78,I Alsina-Jurnet; J Guti�rrez-Maldonado,2010,International journal of human��,Elsevier,https://www.sciencedirect.com/science/article/pii/S1071581910000868,https://scholar.google.com/scholar?cites=2159830824679308184&as_sdt=2005&sciodt=0;5&hl=en,57,43628,,,,,,,,,78,8.67,39,2,9,YES,Individual Difference,,-6.16,-0.44,TRUE,-1,-2.48,-2.76,0.12,-0.2,-0.62,-0.69,0.12,3D Graphics - HMD VR
89,92,223,Cultivating imagination: development and pilot test of a therapeutic use of an immersive virtual reality CAVE,,9,,,,,,,Projection Display,Surround sound,Social Science and psychology,,Not Mentioned,Not Sure,,90,1,Study 1,15,9,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,,,,2,6,Condition,Imagination,No,9,,,,,,2.8,2.83,2.42,2.56,,0.39,0.65,0.72,1.94,,,,,,,2,PF Brennan; FD Nicolalde; K Ponto…,2013,AMIA Annual …,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3900149/,https://scholar.google.com/scholar?cites=4713791303245109034&as_sdt=2005&sciodt=0;5&hl=en,450,43627,HTML,,,,,,,,2,0.33,1,4,,YES,Imagination,Unknown Scale,-4,-0.285714286,TRUE,-1,-0.68,-2.32,-0.44,-0.2,-0.17,-0.58,-0.44,Projection Display
117,125,298,Here's Looking At You Anyway!: How Important is Realistic Gaze Behavior in Co-located Social Virtual Reality Games?,"Gaze Behavior, Social Virtual Reality, Eye Tracking, Head-mounted Display",42,24,17,18,53,27.5,,3D Graphics - HMD VR,Unknown,"Entertainment and game,Social Science and psychology",,,Not Sure,,45,1,Study 1,16,42,8/08/2008,6/06/2005,,,,,between-subject,each component,/Mean/SD/,Chart,After,No,Spearman’s correlation test,,,2,17,Group,Simulated gaze,No,14,,,,,,3.8,3.13,3.89,5.29,,0.36,0.72,0.49,0.89,,,,,,,3,S Seele; S Misztal; H Buhler; R Herpers…,2017,Proceedings of the …,dl.acm.org,https://dl.acm.org/citation.cfm?id=3116619,https://scholar.google.com/scholar?cites=7497006300627109154&as_sdt=2005&sciodt=0;5&hl=en,316,43676,,,,,,,,,3,1.5,1,5,,YES,Gaze Behavior,Unknown Scale,-4.92,-0.351428571,TRUE,-1,-3.48,-0.44,1.29,-0.2,-0.87,-0.11,1.29,3D Graphics - HMD VR
129,137,326,How to Observe Users' Movements in Virtual Environments: Viewpoint Control in a Power Wheelchair Simulator,"user observation, virtual reality, interaction techniques, immersion, driving simulator",15,4,11,23,55,34.9,9.4,3D Graphics - HMD VR,Unknown,"Education and training,Interaction techniques,Social Science and psychology",,Not Mentioned,Not Sure,,40,1,Study 1,,15,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,"ANOVA,Tukey’s",,,2,-33,Viewpoint,Orbit,No,15,-0.96,-0.3,-0.77,-0.4,,,,,,,1.34,0.87,1.15,1.68,,,,,,,0,A Alshaer; D O'Hare; P Archambault…,2019,Human …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0018720819853682,,409,43676,,,,,,,,,0,0,0,4,,YES,Simulator,Said 13 items but report 4 subscales,-2.43,-0.173571429,TRUE,-0.96,-0.3,-0.77,-0.4,-0.192,-0.075,-0.1925,-0.4,3D Graphics - HMD VR
138,149,364,Cognitive factors can influence self-motion perception (vection) in virtual reality,"Ego–motion simulation, psychophysics, spatial orientation, spatial presence, vection, virtual reality",22,,,,,,,Projection Display,Stereo sound,"Design and visualization,Social Science and psychology",,Not Mentioned,Not Sure,,,2,Study 2,,10,,,17,27,22.8,2.7,within-subject,each component,/Mean//,Chart,After,No,"TTest,Paired-Samples Correlations",,,2,17,Scene,inv.,No,10,,,,,,3.82,3.62,2.9,3.3,3.46,,,,,,,,,,,83,BE Riecke; J Schulte-Pelkum; MN Avraamides�,2006,ACM Transactions on��,dl.acm.org,https://dl.acm.org/citation.cfm?id=1166091,https://scholar.google.com/scholar?cites=13511144545204386730&as_sdt=2005&sciodt=0;5&hl=en,79,43628,,,,,,,,,83,6.38,21,4,13,YES,Vection,,-7.56,-0.54,TRUE,-0.9,-1.52,-4.4,-0.7,-0.18,-0.38,-1.1,-0.7,Projection Display
17,18,42,Enhancing the visually induced self-motion illusion (vection) under natural viewing conditions in virtual reality,"Vection, psychophysics, spatial presence, virtual reality, illusions, motion simulation.",22,,,,,,,Projection Display,Stereo sound,Social Science and psychology,Vection,Not Mentioned,Not Sure,,,1,Study 1,,22,,,,,,,between-subject,each component,/Mean/SD/,Chart,After,No,Correlaration tests,,,1,17,Screen homogeneity,Unmarked screen,No,12,,,,,,3.86,4.56,3.97,4.67,4.2,0.84,0.94,1.1,1.36,0.96,,,,,,25,BE Riecke; J Schulte-Pelkum�,2004,��Workshop Presence,academia.edu,http://www.academia.edu/download/2384840/982drjfkn4woz84.pdf,https://scholar.google.com/scholar?cites=9264505614785578962&as_sdt=2005&sciodt=0;5&hl=en,70,43628,PDF,,,,,,,,25,1.67,8,3,15,YES,Vection,,2.8,0.2,TRUE,-0.7,2.24,-0.12,0.67,-0.14,0.56,-0.03,0.67,Projection Display
27,28,65,Representation of patients' hand modulates fear reactions of patients with spider phobia in virtual reality,"virtual reality, presence, immersion, perception, fear, specific phobia",64,,,,,,,3D Graphics - HMD VR,Unknown,"Healthcare and clinical therapies,Social Science and psychology",Phobia,Not Mentioned,Not Sure,,,1,Study 1,47,64,0/,32/,18/,30/,22.75/,2.72,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,4,6,GroupxCondition,ControlxPerception,Yes,32,,,,,,2.86,1.91,2.23,2.69,,1.24,1.16,1.08,1.3,,,,,,,10,HM Peperkorn; JE Diemer; GW Alpers�,2016,Frontiers in��,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fpsyg.2016.00268,https://scholar.google.com/scholar?cites=4840287585176633007&as_sdt=2005&sciodt=0;5&hl=en,87,43628,HTML,,,,,,,,10,3.33,3,4,3,YES,,,-8.14,-0.581428571,TRUE,-0.7,-4.36,-3.08,-0.31,-0.14,-1.09,-0.77,-0.31,3D Graphics - HMD VR
81,83,204,Towards lean and elegant self-motion simulation in virtual reality,"Vection, self-motion illusion, spatial orientation, virtual reality, motion simulation, human factors, psychophysics, multi-modal cue integration, vibrations, auditory cues",53,,,,,,,Projection Display,Surround sound,Social Science and psychology,,Not Mentioned,Not Sure,,,3,Study 2,,22,,,,,,,between-subject,each component,/Mean/SD/,Chart,Unknown,No,TTest,,,2,17,screen,unmarked,No,12,,,,,,3.86,4.56,3.97,4.67,4.2,1.24,0.95,1.1,1.38,0.95,,,,,,79,BE Riecke; J Schulte-Pelkum…,2005,… . VR 2005. Virtual …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/1492765/,https://scholar.google.com/scholar?cites=3287997044791535940&as_sdt=2005&sciodt=0;5&hl=en,48,43627,,,,,,,,,79,5.64,26,3,,YES,Vection,,2.8,0.2,TRUE,-0.7,2.24,-0.12,0.67,-0.14,0.56,-0.03,0.67,Projection Display
133,141,333,Enhancing User Experience with Olfaction in Virtual Reality,,10,5,5,,,28.3,1.34,3D Graphics - HMD VR,Unknown,"Design and visualization,Entertainment and game,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,10,,,,,,,within-subject,each item,/Mean//,Other,After,No,Mann-Whitney U-Test; Wilcoxon Signed-Rank Test,,,4,17,OdourxGroup,No-odourxO-NO,Yes,10,,,,,,,,,,,,,,,,,,,,,0,MH Braun,2019,,openaccess.city.ac.uk,http://openaccess.city.ac.uk/id/eprint/22379,,561,43676,,,,,,,,,0,0,0,1,,YES,Olfaction,,-5.7,-0.407142857,TRUE,-0.7,-1,-4.6,0.6,-0.14,-0.25,-1.15,0.6,3D Graphics - HMD VR
42,43,107,Delay compensation for a telepresence system with 3d 360 degree vision based on deep head motion prediction and dynamic fov adaptation,"3D vision, telepresence, virtual reality, remote reality, omnidirectional vision",13,9,4,,,25.38,5.18,3D Graphics - HMD VR,Unknown,"Interaction techniques,Social Science and psychology",Telepresence,Not Mentioned,Not Sure,,,1,Study 1,0.75,13,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,ANOVA,,,2,6,Scene,Comp.+rect. black,No,13,14.53,11.1,10.82,2.69,,,,,,,2.56,2.56,3.17,2.53,,,,,,,3,T Aykut; M Karimi; C Burgmair�,2018,IEEE Robotics and��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8429079/,https://scholar.google.com/scholar?cites=8422483897848827086&as_sdt=2005&sciodt=0;5&hl=en,309,43628,,,,,,,,,3,3,1,4,1,YES,Telepresence,,-2.86,-0.204285714,TRUE,-0.47,-0.9,-1.18,-0.31,-0.094,-0.225,-0.295,-0.31,3D Graphics - HMD VR
46,47,119,Optimized HMD System for Underwater VR Experience,"Head-mounted display (HMD), Virtual reality, Wearable devices",6,6,0,18,22,,,3D Graphics - HMD VR,Unknown,"Entertainment and game,Interaction techniques,Other",,Not Mentioned,Not Sure,,,1,Study 1,,6,,,,,,,within-subject,each component,/Mean/SD/,Other,Unknown,No,,,,2,6,HMD,water-tightened,No,6,,,,,,2.92,2.7,2.7,,2.78,1.83,1.22,1.55,,1.72,,,,,,4,H Osone; T Yoshida; Y Ochiai,2017,International Conference on Advances in …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-76270-8_31,https://scholar.google.com/scholar?cites=12221140667045943805&as_sdt=2005&sciodt=0;5&hl=en,333,43676,,,,,,,,,4,2,1,3,,DUPLICATED,,,-3.08,-0.22,TRUE,-0.4,-1.2,-1.2,-0.28,-0.08,-0.3,-0.3,-0.28,3D Graphics - HMD VR
116,124,293,Distraction of attention with the use of virtual reality. Influence of the level of game complexity on the level of experienced pain,"Virtual Reality, Pain, Attention distraction, Cold Pressor Test, Video games",31,12,19,20/19,24/30,22.42/21.37,1.51/2.34,3D Graphics - HMD VR,Stereo sound,"Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,4,31,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Parametric statistics,,,4,-33,GroupxVR,Pain SensitivexHigh Complexity,Yes,31,,,,,,-0.08,-0.21,-2.14,1,,1.29,1.24,0.57,2.02,,,,,,,3,J Piskorz; M Czub,2014,Polish Psychological Bulletin,degruyter.com,https://www.degruyter.com/downloadpdf/j/ppb.2014.45.issue-4/ppb-2014-0058/ppb-2014-0058.xml,https://scholar.google.com/scholar?cites=8909671389347806897&as_sdt=2005&sciodt=0;5&hl=en,175,43676,PDF,,,,,,,,3,0.6,2,2,,YES,Pain,,-9.8,-0.7,TRUE,-0.4,-0.84,-8.56,1,-0.08,-0.21,-2.14,1,3D Graphics - HMD VR
2,2,6,Temporal dynamics in the relation between presence and fear in virtual reality,"Virtual reality, Presence, Exposure therapy, Behavioral avoidance test, Anxiety disorders, Specific phobia",22,,22,19,38,25.18,5.58,Projection Display,Unknown,"Healthcare and clinical therapies,Social Science and psychology",Exposure therapy,Not Mentioned,Not Sure,,,1,Study 1,41.77/2.24,22,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,"Strong correlations between presence and fear on the one-item presence measure assessed immediately after each exposure, but not on the IPQ administered at the end of the entire experiment.",1,6,VR,Monoscopic,No,11,,,,,,2.95,2.2,3.57,3.45,,1.8,1.46,,1.97,,,,,,,30,HM Peperkorn; J Diemer; A M�hlberger,2015,Computers in Human Behavior,Elsevier,https://www.sciencedirect.com/science/article/pii/S0747563215001260,https://scholar.google.com/scholar?cites=3537788879502462667&as_sdt=2005&sciodt=0;5&hl=en,7,43628,,,,,,,,,30,7.5,10,3,4,YES,Exposure Therapy,,-1.17,-0.083571429,TRUE,-0.25,-3.2,2.28,0.45,-0.05,-0.8,0.57,0.45,Projection Display
22,23,55,Powered wheelchair simulator development: implementing combined navigation-reaching tasks with a 3D hand motion controller,"Virtual reality, Powered wheelchair, Training, Reaching, Navigation, Rehabilitation",12,8,4,36,60,50.1,9.1,"3D Graphics - Monoscopic,Other",Unknown,"Interaction techniques,Social Science and psychology",Virtual reality,Not Mentioned,Not Sure,,,1,Study 1,15,12,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,TTest,,,1,6,3D Hand Cotroller,With,No,12,,,,,,2.95,3.57,2.73,2.61,,0.52,0.85,0.76,2.18,,,,,,,17,G Tao; PS Archambault,2016,Journal of��,jneuroengrehab.biomedcentral.com,https://jneuroengrehab.biomedcentral.com/articles/10.1186/s12984-016-0112-2,https://scholar.google.com/scholar?cites=17314908123693819291&as_sdt=2005&sciodt=0;5&hl=en,203,43628,HTML,,,,,,,,17,5.67,9,2,3,YES,Interaction,,0.95,0.067857143,TRUE,-0.25,2.28,-1.08,-0.39,-0.05,0.57,-0.27,-0.39,3D Graphics - Monoscopic
100,105,247,How body movement influences virtual reality analgesia?,"Virtual Reality, pain, cold pressor test, movement, presence, analgesia",30,10,20,18/19,50/24,25.60/20.55,9.26/1.50,3D Graphics - HMD VR,Stereo sound,"Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,4,30,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Non-parametric statistics; Pearson Correlation Coefficient,,,2,-33,Condition,Small Movement,No,30,,,,,,-0.04,-0.24,-0.79,0.4,,1.27,1.56,1.29,2.03,,,,,,,15,M Czub; J Piskorz,2014,2014 International Conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6990185/,https://scholar.google.com/scholar?cites=2292082930132990674&as_sdt=2005&sciodt=0;5&hl=en,7,43676,,,,,,,,,15,3,8,,,YES,Analgesia,Some missing data,-4.32,-0.308571429,TRUE,-0.2,-0.96,-3.16,0.4,-0.04,-0.24,-0.79,0.4,3D Graphics - HMD VR
16,17,41,Can decision-making skills affect responses to psychological stress in healthy women?,"Stress, Decision-making, Cortisol, TSST, Virtual reality",40,,,,,28,11.08,Other,Stereo sound,Social Science and psychology,Stress; Decision-making;,Not Mentioned,Not Sure,,90,1,Study 1,,38,,,,,29.52/25.36,12.03/7.75,within-subject,each component,/Mean/SD/,Other,After,No,TTest,,,1,-33,IGT,Poor IGT performance,No,15,-0.15,1,-3.73,-0.52,,,,,,,3.77,4.86,2.68,1.67,,,,,,,27,A Santos-Ruiz; MC Garcia-Rios�,2012,�,Elsevier,https://www.sciencedirect.com/science/article/pii/S0306453012001345,https://scholar.google.com/scholar?cites=15404127022972111759&as_sdt=2005&sciodt=0;5&hl=en,25,43628,,,,,,,,,27,3.86,9,3,7,YES,Stress,,-3.4,-0.242857143,TRUE,-0.15,1,-3.73,-0.52,-0.03,0.25,-0.9325,-0.52,3D Graphics - Monoscopic
72,73,179,Haptic contact in immersive 360° cinematic environment,,32,21,11,18,36,26.25,,3D Graphics - HMD VR,Unknown,"Design and visualization,Other",Haptic,Not Mentioned,Not Sure,,,1,Study 1,,32,,,,,,,within-subject,each component,TotalScore//SD/,Other,After,No,ANOVA,,,2,6,Condition,HMD,No,32,14.87,12.97,9.84,,40.84,,,,,,6.98,5.43,5.11,,16.05,,,,,,0,P Sasikumar,2018,,ir.canterbury.ac.nz,https://ir.canterbury.ac.nz/handle/10092/15156,,299,43628,,,,,,,,,0,0,0,1,1,YES,Haptic,,-1.16,-0.082857143,TRUE,-0.13,0.97,-2.16,0.16,-0.026,0.2425,-0.54,0.16,3D Graphics - HMD VR
21,22,53,Trier Social Stress Test in vivo and in virtual reality: Dissociation of response domains,"Virtual reality, Skin conductance level, Salivary cortisol, Heart rate, Social stress, Trier Social Stress Test (TSST)",45,45,0,,,23.76,2.52,3D Graphics - HMD VR,Stereo sound,Social Science and psychology,Stress,Not Mentioned,Yes,,,1,Study 1,9,45,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,,,,1,-33,Group,VR+,No,15,,,,,,-0.01,0.04,-0.64,0.14,,0.99,1.56,1.09,1.46,,,,,,,18,Y Shiban; J Diemer; S Brandl; R Zack�,2016,International Journal of��,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167876016307231,https://scholar.google.com/scholar?cites=14327464664590115311&as_sdt=2005&sciodt=0;5&hl=en,60,43628,,,,,,,,,18,6,4,5,3,YES,Stress,,-2.45,-0.175,TRUE,-0.05,0.16,-2.56,0.14,-0.01,0.04,-0.64,0.14,3D Graphics - HMD VR
77,78,193,The Influence of Visual Realism on the Sense of Presence in Virtual Environments,,52,32,20,18,48,22.81,5.94,3D Graphics - HMD VR,Unknown,Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,52,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,"ANOVA,Pearson correlations",,,4,17,OrderxRealism,Unrealistic FirstxUnrealistic,Yes,24,,,,,,4,4.01,1.98,3.83,3.42,0.64,1.23,0.88,1.09,0.55,,,,,,0,Y Toczek,2016,,research.tue.nl,https://research.tue.nl/files/46946153/855787-1.pdf,,169,43628,PDF,,,,,,,,0,0,0,1,3,YES,Presence,Unknown Scale,-8.12,-0.58,TRUE,0,0.04,-8.08,-0.17,0,0.01,-2.02,-0.17,3D Graphics - HMD VR
42,43,106,Delay compensation for a telepresence system with 3d 360 degree vision based on deep head motion prediction and dynamic fov adaptation,"3D vision, telepresence, virtual reality, remote reality, omnidirectional vision",13,9,4,,,25.38,5.18,3D Graphics - HMD VR,Unknown,"Interaction techniques,Social Science and psychology",Telepresence,Not Mentioned,Not Sure,,,1,Study 1,0.75,13,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,ANOVA,,,2,6,Scene,With comp.,No,13,15.02,11.74,11.55,3.59,,,,,,,2.37,2.37,2.5,2.37,,,,,,,3,T Aykut; M Karimi; C Burgmair�,2018,IEEE Robotics and��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8429079/,https://scholar.google.com/scholar?cites=8422483897848827086&as_sdt=2005&sciodt=0;5&hl=en,309,43628,,,,,,,,,3,3,1,4,1,YES,Telepresence,,-0.1,-0.007142857,TRUE,0.02,-0.26,-0.45,0.59,0.004,-0.065,-0.1125,0.59,3D Graphics - HMD VR
116,124,291,Distraction of attention with the use of virtual reality. Influence of the level of game complexity on the level of experienced pain,"Virtual Reality, Pain, Attention distraction, Cold Pressor Test, Video games",31,12,19,20/19,24/30,22.42/21.37,1.51/2.34,3D Graphics - HMD VR,Stereo sound,"Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,4,31,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Parametric statistics,,,4,-33,VR,High Complexity,No,31,,,,,,0.01,-0.13,-2.14,1.16,,1.32,1.19,0.54,1.95,,,,,,,3,J Piskorz; M Czub,2014,Polish Psychological Bulletin,degruyter.com,https://www.degruyter.com/downloadpdf/j/ppb.2014.45.issue-4/ppb-2014-0058/ppb-2014-0058.xml,https://scholar.google.com/scholar?cites=8909671389347806897&as_sdt=2005&sciodt=0;5&hl=en,175,43676,PDF,,,,,,,,3,0.6,2,2,,YES,Pain,,-9.03,-0.645,TRUE,0.05,-0.52,-8.56,1.16,0.01,-0.13,-2.14,1.16,3D Graphics - HMD VR
